"color", "Cor"
"cost", "Custo"
"ciclo", "Ciclo Recorrente"
"category_ids", "Categorias"
"country_of_manufacture", "País de Fabricação"
"custom_design", "Tema"
"custom_design_from", "Ativo desde"
"custom_design_to", "Ativo até"
"custom_layout", "Novo Layout"
"description", "Descrição"
"eav_mundipagg_billing_type", "Tipo de cobrança"
"eav_mundipagg_trial_period", "Período de Avaliação"
"eav_mundipagg_billing_type_day", "Dia(s)"
"eav_mundipagg_interval", "Intervalo"
"eav_mundipagg_interval_period", "Período"
"eav_mundi_rec_allow_other", "Permitir adicionar itens recorrentes ao carrinho"
"eav_mundi_rec_allow_set", "Permitir adicionar itens recorrentes ao carrinho"
"eav_mundi_rec_billing_type", "Permitir vernder como um produto normal"
"eav_mundi_rec_billing_type_day", "Dia(s)"
"eav_mundi_rec_global", "Usar Configuração Global"
"eav_mundi_rec_interval", "Intervalo"
"eav_mundi_rec_interval_period", "Período"
"eav_mundi_rec_payment", "Métodos de Pagamento"
"eav_mundi_rec_start_at", "Começa em"
"eav_mundi_rec_start_at_day", "Dia(s)"
"fragile", "Frágil"
"gallery", "Galeria"
"gift_message_available", "Permitir Mensagem para Presente"
"image", "Base"
"is_recurrence", "É Recorrente?"
"item_condition", "Condição do Item"
"jn2design", "Página de Layout do Produto"
"lead_time", "Tempo do Lead (dias)"
"manufacturer", "Fabricante"
"media_gallery", "Galeria de Imagens"
"meta_description", "Metatag - Descrição"
"meta_keyword", "Metatag - Palavras Chaves"
"meta_title", "Metatag - Título"
"msrp", "Preço Mínimo Anunciado"
"msrp_display_actual_price_type", "Exibir preço atual"
"name", "Nome do Produto"
"news_from_date", "Novo a partir de"
"news_to_date", "Novo até"
"options_container", "Exibir Opções do Produto em"
"page_layout", "Layout da Página"
"price", "Preço"
"price_type", "Dynamic Price"
"price_view", "Visualização do Preço"
"quantity_and_stock_status", "Quantidade"
"recurrence_amount", "Montante"
"recurrence_billing_cycle", "Ciclo de Recorrência"
"recurrence_description", "Descrição"
"recurrence_name", "Nome"
"recurrence_period_type", "Tipo de Período"
"recurrence_plan_id", "Id do Plano"
"recurrence_sales_tax", "Taxas da Recorrência"
"recurrence_specific_cycle_in_days", "Ciclo em dias"
"recurrentpayment", "Pagamento Recorrente"
"seller_id", "Id do Seller"
"shipment_type", "Tipo de envio pacote de produtos"
"short_description", "Descrição Curta"
"sku", "SKU"
"sku_type", "SKU Dinâmico"
"small_image", "Pequena"
"special_from_date", "Preço Especial a partir de"
"special_to_date", "Preço Especial até"
"status", "Ativar Produto"
"swatch_image", "Imagens de Amostra"
"tax_class_id", "Classe de Imposto"
"thumbnail", "Miniatura"
"tier_price", "Compre mais pague menos"
"url_key", "Url"
"visibility", "Visibilidade"
"volume_height", "Altura (cm)"
"volume_length", "Comprimento (cm)"
"volume_width", "Largura (cm)"
"weight", "Peso"
"weight_type", "Peso dinâmico"
"weltpixel_exclude_from_sitemap", "Excluir do Sitemap"
"weltpixel_hover_image", "Imagem Mouse por Cima"
"title_rewrite", "Reescrita do Nome do Porduto"
